neuron,in_degree,out_degree,betweenness,clustering
ALML,1,4,0.0,1.0
ALMR,0,1,0.0,0.0
AVM,0,6,0.0,0.8666666666666667
PLML,0,4,0.0,1.0
PLMR,0,5,0.0,0.9
PVDL,2,7,0.0006802721088435375,0.9523809523809523
PVDR,2,7,0.0015873015873015873,0.9047619047619048
AVDL,10,4,0.007426303854875283,0.6888888888888889
AVDR,12,5,0.026507936507936515,0.5606060606060606
PVCL,10,9,0.03829931972789116,0.6515151515151515
PVCR,11,10,0.19560090702947847,0.5512820512820513
AVAL,12,6,0.03290249433106576,0.6515151515151515
AVAR,12,7,0.04560090702947846,0.6515151515151515
AVBL,8,6,0.022222222222222223,0.8571428571428571
AVBR,6,4,0.0033333333333333335,0.8214285714285714
DVA,6,7,0.021077097505668933,0.6666666666666666
