neuron,class,in_degree,out_degree,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,pagerank
ALML,sensory,1,3,0.363636,0.090909,0.272727,0.222727,0.054174
ALMR,sensory,0,4,0.363636,0.0,0.363636,0.0,0.034327
AVAL,interneuron,3,1,0.363636,0.272727,0.090909,0.415584,0.064692
AVAR,interneuron,4,0,0.363636,0.363636,0.0,0.490909,0.119681
AVBL,interneuron,3,2,0.454545,0.272727,0.181818,0.404959,0.075152
AVBR,interneuron,5,0,0.454545,0.454545,0.0,0.528926,0.116479
AVDL,interneuron,4,0,0.363636,0.363636,0.0,0.447552,0.071987
AVDR,interneuron,5,1,0.545455,0.454545,0.090909,0.445455,0.097796
AVM,sensory,3,6,0.818182,0.272727,0.545455,0.318182,0.140097
DVA,modulatory,1,6,0.636364,0.090909,0.545455,0.278409,0.066267
PVCL,interneuron,3,7,0.909091,0.272727,0.636364,0.371212,0.078911
PVCR,interneuron,4,6,0.909091,0.363636,0.545455,0.445455,0.080438
