All neurons ordered are: ['PVR', 'RMEV', 'IL2DL', 'AWBR', 'ADFR', 'IL2DR', 'ADFL', 'AWBL', 'URYDL', 'AIML', 'DVA', 'URYDR', 'IL2VL', 'IL2L', 'AVDL', 'PHAL', 'AVJL', 'DB1', 'RMDDL', 'AVDR', 'AVL', 'PVT', 'AVKL', 'PHAR', 'RIH', 'RIPL', 'AVJR', 'IL2VR', 'DB4', 'AVKR', 'RIS', 'ADLL', 'BAGL', 'SAAVL', 'AWCL', 'DB3', 'URBL', 'IL2R', 'PVPL', 'SIAVL', 'SABD', 'URBR', 'AIBR', 'ADLR', 'RMDDR', 'AWCR', 'URYVR', 'RIBL', 'URYVL', 'ASHL', 'DA6', 'DA9', 'SAAVR', 'DB5', 'SAADL', 'DA1', 'SIAVR', 'AIMR', 'AVG', 'DA8', 'RIR', 'BAGR', 'SMDVR', 'RMDVR', 'SAADR', 'DA7', 'PDA', 'PVPR', 'RIVR', 'AVAR', 'SIBDL', 'RMDVL', 'AVAL', 'RMDR', 'AFDR', 'AVBR', 'SMBVL', 'AFDL', 'RMDL', 'DB2', 'SIADL', 'SIBVL', 'SIADR', 'ASHR', 'SIBVR', 'ALA', 'RMED', 'SMBVR', 'SMDDL', 'SIBDR', 'RIBR', 'URAVL', 'AIAL', 'DB6', 'RIPR', 'RMGR', 'AVBL', 'RIVL', 'SMDDR', 'AIYR', 'DB7', 'RMGL', 'AIAR', 'DD1', 'AWAR', 'ASGR', 'RIGL', 'RIML', 'DD2', 'RIGR', 'URAVR', 'AVEL', 'AWAL', 'ASGL', 'RMEL', 'RIAR', 'RMER', 'DA4', 'DA2', 'PVQR', 'AVER', 'PVQL', 'RIMR', 'RIAL', 'DD3', 'DA3', 'DD5', 'DA5', 'URADR', 'URADL', 'DD6', 'DD4', 'AINR', 'AINL', 'AVHR', 'AVHL', 'DVC', 'RID', 'ASER', 'ASEL', 'ASJR', 'AUAR', 'AUAL', 'ASJL', 'ASKL', 'ASKR', 'CEPDR', 'URXR', 'CEPDL', 'URXL', 'IL1DR', 'IL1L', 'IL1DL', 'ASIR', 'SMBDL', 'PHBR', 'HSNR', 'ASIL', 'CEPVL', 'SMBDR', 'OLLR', 'OLQDR', 'IL1VR', 'OLQDL', 'PHBL', 'RICL', 'HSNL', 'IL1VL', 'OLLL', 'CEPVR', 'OLQVL', 'IL1R', 'OLQVR', 'RIFL', 'SABVL', 'SABVR', 'RICR', 'RIFR', 'ADAR', 'FLPR', 'AIZR', 'ADEL', 'ADAL', 'ADER', 'AIZL', 'FLPL', 'LUAL', 'PVCL', 'ALMR', 'BDUR', 'PVCR', 'LUAR', 'BDUL', 'ALML', 'ALNR', 'PLMR', 'ALNL', 'PLML', 'PQR', 'AQR', 'PVM', 'SDQR', 'AVM', 'SDQL', 'PVWR', 'PVWL', 'VA1', 'VD1', 'RMHR', 'AS1', 'VB2', 'VD2', 'RMHL', 'VD3', 'AS2', 'PHCR', 'PHCL', 'VC3', 'PLNL', 'PLNR', 'AS4', 'AS3', 'VD7', 'DVB', 'VD5', 'VD6', 'VD4', 'VC4', 'VC2', 'AS5', 'AS6', 'VC1', 'VD9', 'VC5', 'VD10', 'VD8', 'AS8', 'VD11', 'AVFL', 'VA2', 'AVFR', 'AS7', 'VB1', 'VD13', 'AS9', 'VB3', 'VD12', 'AS10', 'AS11', 'PDB', 'VA6', 'VA4', 'VB9', 'VB5', 'VB4', 'VA3', 'VA8', 'VB7', 'VB6', 'VA5', 'VB10', 'VB11', 'VB8', 'VA7', 'VA10', 'VA9', 'VA12', 'VA11', 'PDER', 'PDEL', 'PVDR', 'PVNR', 'PVDL', 'PVNL', 'RMFR', 'RMFL']
Evaluated neurons ordered are: ['PVR', 'RMEV', 'IL2DL', 'AWBR', 'ADFR', 'IL2DR', 'ADFL', 'AWBL', 'URYDL', 'AIML', 'DVA', 'URYDR', 'IL2VL', 'IL2L', 'AVDL', 'PHAL', 'AVJL', 'DB1', 'RMDDL', 'AVDR', 'AVL', 'PVT', 'AVKL', 'PHAR', 'RIH', 'RIPL', 'AVJR', 'IL2VR', 'DB4', 'AVKR', 'RIS', 'ADLL', 'BAGL', 'SAAVL', 'AWCL', 'DB3', 'URBL', 'IL2R', 'PVPL', 'SIAVL']

Target connectome: 40 nodes, 64 edges, density=0.0400
  Out-degree: min=0, max=6, mean=1.60
  In-degree:  min=0, max=7, mean=1.60
Largest SCC: 6 nodes, 9 edges
Degree threshold for hubs (95th percentile): 4.5
Hub neurons: ['PVR']
G_C: 0.0278, G_rand_C: 0.0200, C_ratio: 1.3889
G_L: 2.4333, G_rand_L: 2.0677, L_ratio: 0.8497

NDP parameters breakdown:
  Embedding: 2
  Growth MLP: 7
  Transform MLP: 7
  Edge MLP: 7
  TOTAL: 23
============================================================
CMA-ES NDP Optimization
============================================================
  Target: 40 nodes, 64 edges
  Parameters: 23
  Metric: f1
  Population size: 128
  Max generations: 500
  Samples per eval: 1
============================================================
  Windows detected - using spawn multiprocessing with 24 workers
  Using 24 cores (parallel)
Gen   1 | loss=11803.2910 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/40 edges=10/64
Gen   2 | loss=11803.2910 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/40 edges=10/64
Gen   3 | loss=11803.2910 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/40 edges=10/64
Gen   4 | loss=11803.2910 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/40 edges=10/64
Gen   5 | loss=11803.2910 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/40 edges=10/64
Gen   6 | loss=11803.2910 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/40 edges=10/64
Gen   7 | loss=11803.2910 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/40 edges=10/64
Gen   8 | loss=13185.6816 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/40 edges=2/64
Gen   9 | loss=8101.6876 | f1=0.1034 prec=0.0556 rec=0.7500 jacc=0.0545 | nodes=10/40 edges=54/64
Gen  10 | loss=11803.2910 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/40 edges=10/64
Gen  11 | loss=8122.2218 | f1=0.1004 prec=0.0569 rec=0.4286 jacc=0.0529 | nodes=32/40 edges=422/64
Gen  12 | loss=11803.2910 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/40 edges=10/64
Gen  13 | loss=5401.7073 | f1=0.0993 prec=0.0538 rec=0.6364 jacc=0.0522 | nodes=16/40 edges=130/64
Gen  14 | loss=4690.1874 | f1=0.1036 prec=0.0606 rec=0.3571 jacc=0.0546 | nodes=32/40 edges=330/64
Gen  15 | loss=9240.3044 | f1=0.1429 prec=0.0789 rec=0.7500 jacc=0.0769 | nodes=8/40 edges=38/64
Gen  16 | loss=8122.2218 | f1=0.1004 prec=0.0569 rec=0.4286 jacc=0.0529 | nodes=32/40 edges=422/64
Gen  17 | loss=10482.2735 | f1=0.0800 prec=0.0455 rec=0.3333 jacc=0.0417 | nodes=6/40 edges=22/64
Gen  18 | loss=7057.6660 | f1=0.1250 prec=0.0676 rec=0.8333 jacc=0.0667 | nodes=12/40 edges=74/64
Gen  19 | loss=9240.3044 | f1=0.1429 prec=0.0789 rec=0.7500 jacc=0.0769 | nodes=8/40 edges=38/64
Gen  20 | loss=6131.3633 | f1=0.1308 prec=0.0714 rec=0.7778 jacc=0.0700 | nodes=14/40 edges=98/64
Gen  21 | loss=3789.9709 | f1=0.0857 prec=0.0474 rec=0.4500 jacc=0.0448 | nodes=22/40 edges=190/64
Gen  22 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  23 | loss=5212.8179 | f1=0.1294 prec=0.0751 rec=0.4643 jacc=0.0691 | nodes=32/40 edges=346/64
Gen  24 | loss=3789.9709 | f1=0.0857 prec=0.0474 rec=0.4500 jacc=0.0448 | nodes=22/40 edges=190/64
Gen  25 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  26 | loss=3789.9709 | f1=0.0857 prec=0.0474 rec=0.4500 jacc=0.0448 | nodes=22/40 edges=190/64
Gen  27 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  28 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  29 | loss=3646.9417 | f1=0.0993 prec=0.0569 rec=0.3889 jacc=0.0522 | nodes=26/40 edges=246/64
Gen  30 | loss=3789.9805 | f1=0.0762 prec=0.0421 rec=0.4000 jacc=0.0396 | nodes=22/40 edges=190/64
Gen  31 | loss=3632.0426 | f1=0.1234 prec=0.0714 rec=0.4524 jacc=0.0657 | nodes=28/40 edges=266/64
Gen  32 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  33 | loss=3646.9417 | f1=0.0993 prec=0.0569 rec=0.3889 jacc=0.0522 | nodes=26/40 edges=246/64
Gen  34 | loss=3789.9709 | f1=0.0857 prec=0.0474 rec=0.4500 jacc=0.0448 | nodes=22/40 edges=190/64
Gen  35 | loss=3646.9417 | f1=0.0993 prec=0.0569 rec=0.3889 jacc=0.0522 | nodes=26/40 edges=246/64
Gen  36 | loss=3632.0426 | f1=0.1234 prec=0.0714 rec=0.4524 jacc=0.0657 | nodes=28/40 edges=266/64
Gen  37 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  38 | loss=3494.3697 | f1=0.0932 prec=0.0524 rec=0.4231 jacc=0.0489 | nodes=24/40 edges=210/64
Gen  39 | loss=3646.9417 | f1=0.0993 prec=0.0569 rec=0.3889 jacc=0.0522 | nodes=26/40 edges=246/64
Gen  40 | loss=3646.9417 | f1=0.0993 prec=0.0569 rec=0.3889 jacc=0.0522 | nodes=26/40 edges=246/64
