All neurons ordered are: ['PVR', 'RMEV', 'IL2DL', 'AWBR', 'ADFR', 'IL2DR', 'ADFL', 'AWBL', 'URYDL', 'AIML', 'DVA', 'URYDR', 'IL2VL', 'IL2L', 'AVDL', 'PHAL', 'AVJL', 'DB1', 'RMDDL', 'AVDR', 'AVL', 'PVT', 'AVKL', 'PHAR', 'RIH', 'RIPL', 'AVJR', 'IL2VR', 'DB4', 'AVKR', 'RIS', 'ADLL', 'BAGL', 'SAAVL', 'AWCL', 'DB3', 'URBL', 'IL2R', 'PVPL', 'SIAVL', 'SABD', 'URBR', 'AIBR', 'ADLR', 'RMDDR', 'AWCR', 'URYVR', 'RIBL', 'URYVL', 'ASHL', 'DA6', 'DA9', 'SAAVR', 'DB5', 'SAADL', 'DA1', 'SIAVR', 'AIMR', 'AVG', 'DA8', 'RIR', 'BAGR', 'SMDVR', 'RMDVR', 'SAADR', 'DA7', 'PDA', 'PVPR', 'RIVR', 'AVAR', 'SIBDL', 'RMDVL', 'AVAL', 'RMDR', 'AFDR', 'AVBR', 'SMBVL', 'AFDL', 'RMDL', 'DB2', 'SIADL', 'SIBVL', 'SIADR', 'ASHR', 'SIBVR', 'ALA', 'RMED', 'SMBVR', 'SMDDL', 'SIBDR', 'RIBR', 'URAVL', 'AIAL', 'DB6', 'RIPR', 'RMGR', 'AVBL', 'RIVL', 'SMDDR', 'AIYR', 'DB7', 'RMGL', 'AIAR', 'DD1', 'AWAR', 'ASGR', 'RIGL', 'RIML', 'DD2', 'RIGR', 'URAVR', 'AVEL', 'AWAL', 'ASGL', 'RMEL', 'RIAR', 'RMER', 'DA4', 'DA2', 'PVQR', 'AVER', 'PVQL', 'RIMR', 'RIAL', 'DD3', 'DA3', 'DD5', 'DA5', 'URADR', 'URADL', 'DD6', 'DD4', 'AINR', 'AINL', 'AVHR', 'AVHL', 'DVC', 'RID', 'ASER', 'ASEL', 'ASJR', 'AUAR', 'AUAL', 'ASJL', 'ASKL', 'ASKR', 'CEPDR', 'URXR', 'CEPDL', 'URXL', 'IL1DR', 'IL1L', 'IL1DL', 'ASIR', 'SMBDL', 'PHBR', 'HSNR', 'ASIL', 'CEPVL', 'SMBDR', 'OLLR', 'OLQDR', 'IL1VR', 'OLQDL', 'PHBL', 'RICL', 'HSNL', 'IL1VL', 'OLLL', 'CEPVR', 'OLQVL', 'IL1R', 'OLQVR', 'RIFL', 'SABVL', 'SABVR', 'RICR', 'RIFR', 'ADAR', 'FLPR', 'AIZR', 'ADEL', 'ADAL', 'ADER', 'AIZL', 'FLPL', 'LUAL', 'PVCL', 'ALMR', 'BDUR', 'PVCR', 'LUAR', 'BDUL', 'ALML', 'ALNR', 'PLMR', 'ALNL', 'PLML', 'PQR', 'AQR', 'PVM', 'SDQR', 'AVM', 'SDQL', 'PVWR', 'PVWL', 'VA1', 'VD1', 'RMHR', 'AS1', 'VB2', 'VD2', 'RMHL', 'VD3', 'AS2', 'PHCR', 'PHCL', 'VC3', 'PLNL', 'PLNR', 'AS4', 'AS3', 'VD7', 'DVB', 'VD5', 'VD6', 'VD4', 'VC4', 'VC2', 'AS5', 'AS6', 'VC1', 'VD9', 'VC5', 'VD10', 'VD8', 'AS8', 'VD11', 'AVFL', 'VA2', 'AVFR', 'AS7', 'VB1', 'VD13', 'AS9', 'VB3', 'VD12', 'AS10', 'AS11', 'PDB', 'VA6', 'VA4', 'VB9', 'VB5', 'VB4', 'VA3', 'VA8', 'VB7', 'VB6', 'VA5', 'VB10', 'VB11', 'VB8', 'VA7', 'VA10', 'VA9', 'VA12', 'VA11', 'PDER', 'PDEL', 'PVDR', 'PVNR', 'PVDL', 'PVNL', 'RMFR', 'RMFL']
Evaluated neurons ordered are: ['PVR', 'RMEV', 'IL2DL', 'AWBR', 'ADFR', 'IL2DR', 'ADFL', 'AWBL', 'URYDL', 'AIML', 'DVA', 'URYDR', 'IL2VL', 'IL2L', 'AVDL', 'PHAL', 'AVJL', 'DB1', 'RMDDL', 'AVDR', 'AVL', 'PVT', 'AVKL', 'PHAR', 'RIH', 'RIPL', 'AVJR', 'IL2VR', 'DB4', 'AVKR', 'RIS', 'ADLL', 'BAGL', 'SAAVL', 'AWCL', 'DB3', 'URBL', 'IL2R', 'PVPL', 'SIAVL', 'SABD', 'URBR', 'AIBR', 'ADLR', 'RMDDR', 'AWCR', 'URYVR', 'RIBL', 'URYVL', 'ASHL', 'DA6', 'DA9', 'SAAVR', 'DB5', 'SAADL', 'DA1', 'SIAVR', 'AIMR', 'AVG', 'DA8', 'RIR', 'BAGR', 'SMDVR', 'RMDVR', 'SAADR', 'DA7', 'PDA', 'PVPR', 'RIVR', 'AVAR', 'SIBDL', 'RMDVL', 'AVAL', 'RMDR', 'AFDR', 'AVBR', 'SMBVL', 'AFDL', 'RMDL', 'DB2']

Target connectome: 80 nodes, 255 edges, density=0.0398
  Out-degree: min=0, max=13, mean=3.19
  In-degree:  min=0, max=16, mean=3.19
Largest SCC: 24 nodes, 53 edges
Degree threshold for hubs (95th percentile): 7.0
Hub neurons: ['RIBL', 'RMDR', 'RIS']
G_C: 0.1565, G_rand_C: 0.0491, C_ratio: 3.1878
G_L: 4.3623, G_rand_L: 3.5764, L_ratio: 0.8198

NDP parameters breakdown:
  Embedding: 1
  Growth MLP: 21
  Transform MLP: 4
  Edge MLP: 5
  TOTAL: 31
============================================================
CMA-ES NDP Optimization
============================================================
  Target: 80 nodes, 255 edges
  Parameters: 31
  Metric: f1
  Population size: 128
  Max generations: 500
  Samples per eval: 1
============================================================
  Windows detected - using spawn multiprocessing with 24 workers
  Using 24 cores (parallel)
Gen   1 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen   2 | loss=0.8750 | f1=0.0811 prec=0.0429 rec=0.7500 jacc=0.0423 | nodes=10/80 edges=70/255
Gen   3 | loss=0.8750 | f1=0.1034 prec=0.0556 rec=0.7500 jacc=0.0545 | nodes=10/80 edges=54/255
Gen   4 | loss=0.9250 | f1=0.2069 prec=0.1154 rec=1.0000 jacc=0.1154 | nodes=6/80 edges=26/255
Gen   5 | loss=0.2250 | f1=0.0698 prec=0.0406 rec=0.2482 jacc=0.0362 | nodes=62/80 edges=862/255
Gen   6 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
Gen   7 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
Gen   8 | loss=0.2000 | f1=0.0622 prec=0.0346 rec=0.3087 jacc=0.0321 | nodes=64/80 edges=1330/255
Gen   9 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  10 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
Gen  11 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  12 | loss=0.9250 | f1=0.0800 prec=0.0455 rec=0.3333 jacc=0.0417 | nodes=6/80 edges=22/255
Gen  13 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  14 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
Gen  15 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  16 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
Gen  17 | loss=0.4250 | f1=0.0786 prec=0.0455 rec=0.2907 jacc=0.0409 | nodes=46/80 edges=550/255
Gen  18 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  19 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  20 | loss=0.9000 | f1=0.1429 prec=0.0789 rec=0.7500 jacc=0.0769 | nodes=8/80 edges=38/255
Gen  21 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
Gen  22 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  23 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  24 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
Gen  25 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
Gen  26 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  27 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  28 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  29 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
Gen  30 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
Gen  31 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  32 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
Gen  33 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
Gen  34 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  35 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
Gen  36 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
Gen  37 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  38 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
Gen  39 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  40 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
Gen  41 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  42 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
Gen  43 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  44 | loss=0.9500 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=4/80 edges=10/255
Gen  45 | loss=0.9750 | f1=0.0000 prec=0.0000 rec=0.0000 jacc=0.0000 | nodes=2/80 edges=2/255
